28.8	0.0919064
28.9	0.0921141
29	0.0923564
29.1	0.0926279
29.2	0.0929141
29.3	0.0932121
29.4	0.0935089
29.5	0.0938292
29.6	0.0941346
29.7	0.0944014
29.8	0.0946737
29.9	0.0949457
30	0.0951967
30.1	0.0954315
30.2	0.0956319
30.3	0.0957934
30.4	0.0959614
30.5	0.0961911
30.6	0.0964674
30.7	0.0967566
30.8	0.0970283
30.9	0.0972895
31	0.0975754
31.1	0.0978408
31.2	0.098084
31.3	0.0983374
31.4	0.0985985
31.5	0.0988998
31.6	0.0992288
31.7	0.0995537
31.8	0.099881
31.9	0.100163
32	0.100426
32.1	0.10072
32.2	0.101052
32.3	0.101399
32.4	0.101706
32.5	0.101952
32.6	0.102195
32.7	0.102417
32.8	0.102607
32.9	0.102809
33	0.103041
33.1	0.103302
33.2	0.103589
33.3	0.103859
33.4	0.104131
33.5	0.104406
33.6	0.104674
33.7	0.104928
33.8	0.105168
33.9	0.105395
34	0.105612
34.1	0.105808
34.2	0.106039
34.3	0.10631
34.4	0.106607
34.5	0.106916
34.6	0.107219
34.7	0.107516
34.8	0.107798
34.9	0.108065
35	0.108316
35.1	0.108557
35.2	0.108797
35.3	0.109065
35.4	0.109349
35.5	0.109659
35.6	0.109994
35.7	0.110329
35.8	0.110628
35.9	0.11088
36	0.111113
36.1	0.111348
36.2	0.111599
36.3	0.111866
36.4	0.112199
36.5	0.112554
36.6	0.112886
36.7	0.113185
36.8	0.113468
36.9	0.113752
37	0.114009
37.1	0.11425
37.2	0.11448
37.3	0.114731
37.4	0.115034
37.5	0.115354
37.6	0.115684
37.7	0.116017
37.8	0.116351
37.9	0.116646
38	0.116909
38.1	0.117137
38.2	0.117368
38.3	0.117617
38.4	0.117877
38.5	0.118165
38.6	0.118441
38.7	0.118685
38.8	0.118902
38.9	0.119099
39	0.119321
39.1	0.119543
39.2	0.119786
39.3	0.12008
39.4	0.120387
39.5	0.120665
39.6	0.120912
39.7	0.121134
39.8	0.121355
39.9	0.121596
40	0.121869
40.1	0.122188
40.2	0.122513
40.3	0.122813
40.4	0.123079
40.5	0.123334
40.6	0.123581
40.7	0.123822
40.8	0.124065
40.9	0.124326
41	0.124596
41.1	0.124853
41.2	0.125104
41.3	0.125352
41.4	0.125592
41.5	0.125837
41.6	0.126092
41.7	0.126343
41.8	0.126582
41.9	0.126812
42	0.127031
42.1	0.127255
42.2	0.127483
42.3	0.12771
42.4	0.127964
42.5	0.128256
42.6	0.128564
42.7	0.128849
42.8	0.129111
42.9	0.129367
43	0.129589
43.1	0.129789
43.2	0.129996
43.3	0.130187
43.4	0.130424
43.5	0.130713
43.6	0.131003
43.7	0.131256
43.8	0.131484
43.9	0.131711
44	0.131927
44.1	0.132118
44.2	0.132314
44.3	0.132523
44.4	0.132743
44.5	0.132972
44.6	0.133172
44.7	0.133349
44.8	0.13353
44.9	0.133749
45	0.133979
45.1	0.134202
45.2	0.134435
45.3	0.134665
45.4	0.13493
45.5	0.135216
45.6	0.135507
45.7	0.135801
45.8	0.136058
45.9	0.136296
46	0.136553
46.1	0.136788
46.2	0.136997
46.3	0.137185
46.4	0.137356
46.5	0.137539
46.6	0.137753
46.7	0.137954
46.8	0.13815
46.9	0.138354
47	0.138615
47.1	0.138887
47.2	0.139141
47.3	0.139369
